common_name,species,unit_name,park,es,season,climate_trend
Blue Jay,BLJA,Acadia National Park,ACAD,85,Summer,S
Bobolink,BOBO,Acadia National Park,ACAD,26,Summer,W
Bobolink,BOBO,Acadia National Park,ACAD,85,Summer,E
Brown Creeper,BRCR,Acadia National Park,ACAD,26,Summer,E
Brown Creeper,BRCR,Acadia National Park,ACAD,85,Summer,E
Black-throated Blue Warbler,BTBW,Acadia National Park,ACAD,26,Summer,E
Black-throated Blue Warbler,BTBW,Acadia National Park,ACAD,85,Summer,E
Black-throated Green Warbler,BTNW,Acadia National Park,ACAD,26,Summer,W
Black-throated Green Warbler,BTNW,Acadia National Park,ACAD,85,Summer,E
Blue-winged Teal,BWTE,Acadia National Park,ACAD,26,Summer,E
Blue-winged Teal,BWTE,Acadia National Park,ACAD,85,Summer,E
Blue-winged Warbler,BWWA,Acadia National Park,ACAD,26,Summer,I
Blue-winged Warbler,BWWA,Acadia National Park,ACAD,85,Summer,I
Carolina Chickadee,CACH,Acadia National Park,ACAD,85,Summer,C
Carolina Wren,CARW,Acadia National Park,ACAD,26,Summer,C
Carolina Wren,CARW,Acadia National Park,ACAD,85,Summer,C
Canada Warbler,CAWA,Acadia National Park,ACAD,26,Summer,W
Canada Warbler,CAWA,Acadia National Park,ACAD,85,Summer,E
Cedar Waxwing,CEDW,Acadia National Park,ACAD,26,Summer,S
Cedar Waxwing,CEDW,Acadia National Park,ACAD,85,Summer,W
Chipping Sparrow,CHSP,Acadia National Park,ACAD,26,Summer,I
Chipping Sparrow,CHSP,Acadia National Park,ACAD,85,Summer,S
Chimney Swift,CHSW,Acadia National Park,ACAD,26,Summer,I
Chimney Swift,CHSW,Acadia National Park,ACAD,85,Summer,I
Cliff Swallow,CLSW,Acadia National Park,ACAD,26,Summer,S
Cliff Swallow,CLSW,Acadia National Park,ACAD,85,Summer,S
Cape May Warbler,CMWA,Acadia National Park,ACAD,26,Summer,E
Cape May Warbler,CMWA,Acadia National Park,ACAD,85,Summer,E
Common Grackle,COGR,Acadia National Park,ACAD,26,Summer,S
Common Grackle,COGR,Acadia National Park,ACAD,85,Summer,S
Common Loon,COLO,Acadia National Park,ACAD,26,Summer,E
Common Loon,COLO,Acadia National Park,ACAD,85,Summer,E
Common Raven,CORA,Acadia National Park,ACAD,26,Summer,E
Common Raven,CORA,Acadia National Park,ACAD,85,Summer,E
Common Yellowthroat,COYE,Acadia National Park,ACAD,26,Summer,W
Common Yellowthroat,COYE,Acadia National Park,ACAD,85,Summer,W
Chestnut-sided Warbler,CSWA,Acadia National Park,ACAD,26,Summer,W
Chestnut-sided Warbler,CSWA,Acadia National Park,ACAD,85,Summer,E
Downy Woodpecker,DOWO,Acadia National Park,ACAD,26,Summer,I
Downy Woodpecker,DOWO,Acadia National Park,ACAD,85,Summer,I
Eastern Bluebird,EABL,Acadia National Park,ACAD,26,Summer,I
Eastern Bluebird,EABL,Acadia National Park,ACAD,85,Summer,I
Eastern Kingbird,EAKI,Acadia National Park,ACAD,26,Summer,S
Eastern Kingbird,EAKI,Acadia National Park,ACAD,85,Summer,S
Eastern Meadowlark,EAME,Acadia National Park,ACAD,26,Summer,S
Eastern Meadowlark,EAME,Acadia National Park,ACAD,85,Summer,S
Eastern Phoebe,EAPH,Acadia National Park,ACAD,26,Summer,I
Eastern Phoebe,EAPH,Acadia National Park,ACAD,85,Summer,S
Eastern Towhee,EATO,Acadia National Park,ACAD,26,Summer,I
Eastern Towhee,EATO,Acadia National Park,ACAD,85,Summer,I
Eastern Wood-Pewee,EAWP,Acadia National Park,ACAD,26,Summer,I
Eastern Wood-Pewee,EAWP,Acadia National Park,ACAD,85,Summer,I
European Starling,EUST,Acadia National Park,ACAD,26,Summer,I
European Starling,EUST,Acadia National Park,ACAD,85,Summer,I
Evening Grosbeak,EVGR,Acadia National Park,ACAD,26,Summer,E
Evening Grosbeak,EVGR,Acadia National Park,ACAD,85,Summer,E
Fish Crow,FICR,Acadia National Park,ACAD,26,Summer,C
Fish Crow,FICR,Acadia National Park,ACAD,85,Summer,C
Field Sparrow,FISP,Acadia National Park,ACAD,26,Summer,I
Field Sparrow,FISP,Acadia National Park,ACAD,85,Summer,I
Great Blue Heron,GBHE,Acadia National Park,ACAD,26,Summer,I
Great Blue Heron,GBHE,Acadia National Park,ACAD,85,Summer,I
Great Crested Flycatcher,GCFL,Acadia National Park,ACAD,26,Summer,S
Great Crested Flycatcher,GCFL,Acadia National Park,ACAD,85,Summer,S
Golden-crowned Kinglet,GCKI,Acadia National Park,ACAD,26,Summer,E
Golden-crowned Kinglet,GCKI,Acadia National Park,ACAD,85,Summer,E
Gray Catbird,GRCA,Acadia National Park,ACAD,26,Summer,I
Gray Catbird,GRCA,Acadia National Park,ACAD,85,Summer,I
Green Heron,GRHE,Acadia National Park,ACAD,26,Summer,I
Green Heron,GRHE,Acadia National Park,ACAD,85,Summer,I
Grasshopper Sparrow,GRSP,Acadia National Park,ACAD,26,Summer,C
Grasshopper Sparrow,GRSP,Acadia National Park,ACAD,85,Summer,C
Golden-winged Warbler,GWWA,Acadia National Park,ACAD,26,Summer,S
Golden-winged Warbler,GWWA,Acadia National Park,ACAD,85,Summer,S
Hairy Woodpecker,HAWO,Acadia National Park,ACAD,26,Summer,W
Hairy Woodpecker,HAWO,Acadia National Park,ACAD,85,Summer,W
Herring Gull,HERG,Acadia National Park,ACAD,26,Summer,W
Herring Gull,HERG,Acadia National Park,ACAD,85,Summer,W
Hermit Thrush,HETH,Acadia National Park,ACAD,26,Summer,E
Hermit Thrush,HETH,Acadia National Park,ACAD,85,Summer,E
House Finch,HOFI,Acadia National Park,ACAD,26,Summer,I
House Finch,HOFI,Acadia National Park,ACAD,85,Summer,I
Hooded Warbler,HOWA,Acadia National Park,ACAD,26,Summer,I
House Wren,HOWR,Acadia National Park,ACAD,26,Summer,I
Indigo Bunting,INBU,Acadia National Park,ACAD,26,Summer,I
Indigo Bunting,INBU,Acadia National Park,ACAD,85,Summer,I
Kentucky Warbler,KEWA,Acadia National Park,ACAD,85,Summer,I
Killdeer,KILL,Acadia National Park,ACAD,26,Summer,I
Killdeer,KILL,Acadia National Park,ACAD,85,Summer,I
Least Flycatcher,LEFL,Acadia National Park,ACAD,26,Summer,E
Least Flycatcher,LEFL,Acadia National Park,ACAD,85,Summer,E
Mallard,MALL,Acadia National Park,ACAD,26,Summer,S
Mallard,MALL,Acadia National Park,ACAD,85,Summer,S
Magnolia Warbler,MAWA,Acadia National Park,ACAD,26,Summer,E
Magnolia Warbler,MAWA,Acadia National Park,ACAD,85,Summer,E
Mourning Dove,MODO,Acadia National Park,ACAD,26,Summer,I
Mourning Dove,MODO,Acadia National Park,ACAD,85,Summer,I
Mourning Warbler,MOWA,Acadia National Park,ACAD,26,Summer,E
Mourning Warbler,MOWA,Acadia National Park,ACAD,85,Summer,E
Nashville Warbler,NAWA,Acadia National Park,ACAD,26,Summer,E
Nashville Warbler,NAWA,Acadia National Park,ACAD,85,Summer,E
Northern Bobwhite,NOBO,Acadia National Park,ACAD,85,Summer,C
Northern Cardinal,NOCA,Acadia National Park,ACAD,26,Summer,I
Northern Cardinal,NOCA,Acadia National Park,ACAD,85,Summer,I
Northern Harrier,NOHA,Acadia National Park,ACAD,26,Summer,E
Northern Harrier,NOHA,Acadia National Park,ACAD,85,Summer,E
Northern Mockingbird,NOMO,Acadia National Park,ACAD,26,Summer,I
Northern Mockingbird,NOMO,Acadia National Park,ACAD,85,Summer,I
Northern Parula,NOPA,Acadia National Park,ACAD,26,Summer,E
Northern Parula,NOPA,Acadia National Park,ACAD,85,Summer,E
Northern Waterthrush,NOWA,Acadia National Park,ACAD,26,Summer,E
Northern Waterthrush,NOWA,Acadia National Park,ACAD,85,Summer,E
Northern Rough-winged Swallow,NRWS,Acadia National Park,ACAD,26,Summer,I
Northern Rough-winged Swallow,NRWS,Acadia National Park,ACAD,85,Summer,I
Orchard Oriole,OROR,Acadia National Park,ACAD,85,Summer,C
Ovenbird,OVEN,Acadia National Park,ACAD,26,Summer,W
Ovenbird,OVEN,Acadia National Park,ACAD,85,Summer,W
Palm Warbler,PAWA,Acadia National Park,ACAD,26,Summer,E
Palm Warbler,PAWA,Acadia National Park,ACAD,85,Summer,E
Pileated Woodpecker,PIWO,Acadia National Park,ACAD,26,Summer,E
Pileated Woodpecker,PIWO,Acadia National Park,ACAD,85,Summer,E
Prairie Warbler,PRAW,Acadia National Park,ACAD,26,Summer,I
Prairie Warbler,PRAW,Acadia National Park,ACAD,85,Summer,I
Purple Finch,PUFI,Acadia National Park,ACAD,26,Summer,E
Purple Finch,PUFI,Acadia National Park,ACAD,85,Summer,E
Purple Martin,PUMA,Acadia National Park,ACAD,26,Summer,I
Purple Martin,PUMA,Acadia National Park,ACAD,85,Summer,I
Rose-breasted Grosbeak,RBGR,Acadia National Park,ACAD,26,Summer,W
Rose-breasted Grosbeak,RBGR,Acadia National Park,ACAD,85,Summer,W
Ring-billed Gull,RBGU,Acadia National Park,ACAD,26,Summer,W
Ring-billed Gull,RBGU,Acadia National Park,ACAD,85,Summer,W
Red-breasted Nuthatch,RBNU,Acadia National Park,ACAD,26,Summer,E
Red-breasted Nuthatch,RBNU,Acadia National Park,ACAD,85,Summer,E
Red-bellied Woodpecker,RBWO,Acadia National Park,ACAD,26,Summer,I
Red-bellied Woodpecker,RBWO,Acadia National Park,ACAD,85,Summer,I
Ruby-crowned Kinglet,RCKI,Acadia National Park,ACAD,26,Summer,E
Ruby-crowned Kinglet,RCKI,Acadia National Park,ACAD,85,Summer,E
Red-eyed Vireo,REVI,Acadia National Park,ACAD,26,Summer,W
Red-eyed Vireo,REVI,Acadia National Park,ACAD,85,Summer,W
Red-headed Woodpecker,RHWO,Acadia National Park,ACAD,85,Summer,C
Ring-necked Pheasant,RNEP,Acadia National Park,ACAD,26,Summer,I
Ring-necked Pheasant,RNEP,Acadia National Park,ACAD,85,Summer,S
Rock Pigeon,ROPI,Acadia National Park,ACAD,26,Summer,I
Rock Pigeon,ROPI,Acadia National Park,ACAD,85,Summer,S
Red-tailed Hawk,RTHA,Acadia National Park,ACAD,26,Summer,I
Red-tailed Hawk,RTHA,Acadia National Park,ACAD,85,Summer,I
Ruby-throated Hummingbird,RTHU,Acadia National Park,ACAD,26,Summer,W
Ruby-throated Hummingbird,RTHU,Acadia National Park,ACAD,85,Summer,W
Red-winged Blackbird,RWBL,Acadia National Park,ACAD,26,Summer,I
Red-winged Blackbird,RWBL,Acadia National Park,ACAD,85,Summer,I
Savannah Sparrow,SAVS,Acadia National Park,ACAD,26,Summer,W
Savannah Sparrow,SAVS,Acadia National Park,ACAD,85,Summer,E
Scarlet Tanager,SCTA,Acadia National Park,ACAD,26,Summer,I
Scarlet Tanager,SCTA,Acadia National Park,ACAD,85,Summer,S
Song Sparrow,SOSP,Acadia National Park,ACAD,26,Summer,S
Song Sparrow,SOSP,Acadia National Park,ACAD,85,Summer,S
Swamp Sparrow,SWSP,Acadia National Park,ACAD,26,Summer,W
Swamp Sparrow,SWSP,Acadia National Park,ACAD,85,Summer,E
Swainson's Thrush,SWTH,Acadia National Park,ACAD,26,Summer,E
Swainson's Thrush,SWTH,Acadia National Park,ACAD,85,Summer,E
Tennessee Warbler,TEWA,Acadia National Park,ACAD,26,Summer,E
Tennessee Warbler,TEWA,Acadia National Park,ACAD,85,Summer,E
Tree Swallow,TRES,Acadia National Park,ACAD,26,Summer,W
Tree Swallow,TRES,Acadia National Park,ACAD,85,Summer,W
Tufted Titmouse,TUTI,Acadia National Park,ACAD,26,Summer,C
Tufted Titmouse,TUTI,Acadia National Park,ACAD,85,Summer,C
Upland Sandpiper,UPSA,Acadia National Park,ACAD,26,Summer,E
Upland Sandpiper,UPSA,Acadia National Park,ACAD,85,Summer,E
Veery,VEER,Acadia National Park,ACAD,26,Summer,W
Veery,VEER,Acadia National Park,ACAD,85,Summer,E
Warbling Vireo,WAVI,Acadia National Park,ACAD,26,Summer,I
Warbling Vireo,WAVI,Acadia National Park,ACAD,85,Summer,I
White-breasted Nuthatch,WBNU,Acadia National Park,ACAD,26,Summer,I
White-breasted Nuthatch,WBNU,Acadia National Park,ACAD,85,Summer,I
White-eyed Vireo,WEVI,Acadia National Park,ACAD,85,Summer,I
Worm-eating Warbler,WEWA,Acadia National Park,ACAD,26,Summer,C
Worm-eating Warbler,WEWA,Acadia National Park,ACAD,85,Summer,C
Willow Flycatcher,WIFL,Acadia National Park,ACAD,26,Summer,I
Willow Flycatcher,WIFL,Acadia National Park,ACAD,85,Summer,I
Wilson's Snipe,WISN,Acadia National Park,ACAD,26,Summer,E
Wilson's Snipe,WISN,Acadia National Park,ACAD,85,Summer,E
Wood Thrush,WOTH,Acadia National Park,ACAD,26,Summer,I
Wood Thrush,WOTH,Acadia National Park,ACAD,85,Summer,I
White-throated Sparrow,WTSP,Acadia National Park,ACAD,26,Summer,E
White-throated Sparrow,WTSP,Acadia National Park,ACAD,85,Summer,E
Yellow-breasted Chat,YBCH,Acadia National Park,ACAD,85,Summer,C
Yellow-billed Cuckoo,YBCU,Acadia National Park,ACAD,26,Summer,I
Yellow-billed Cuckoo,YBCU,Acadia National Park,ACAD,85,Summer,I
Yellow-bellied Flycatcher,YBFL,Acadia National Park,ACAD,26,Summer,E
Yellow-bellied Flycatcher,YBFL,Acadia National Park,ACAD,85,Summer,E
Yellow-bellied Sapsucker,YBSA,Acadia National Park,ACAD,26,Summer,E
Yellow-bellied Sapsucker,YBSA,Acadia National Park,ACAD,85,Summer,E
Yellow Warbler,YEWA,Acadia National Park,ACAD,26,Summer,S
Yellow Warbler,YEWA,Acadia National Park,ACAD,85,Summer,W
Yellow-rumped Warbler,YRWA,Acadia National Park,ACAD,26,Summer,E
Yellow-rumped Warbler,YRWA,Acadia National Park,ACAD,85,Summer,E
Yellow-throated Vireo,YTVI,Acadia National Park,ACAD,26,Summer,I
Yellow-throated Vireo,YTVI,Acadia National Park,ACAD,85,Summer,I
Yellow-throated Warbler,YTWA,Acadia National Park,ACAD,85,Summer,I
Abert's Towhee,ABTO,Arches National Park,ARCH,85,Summer,C
Ash-throated Flycatcher,ATFL,Arches National Park,ARCH,26,Summer,I
Ash-throated Flycatcher,ATFL,Arches National Park,ARCH,85,Summer,I
Black-billed Magpie,BBMA,Arches National Park,ARCH,26,Summer,S
Black-billed Magpie,BBMA,Arches National Park,ARCH,85,Summer,E
Brown-crested Flycatcher,BCFL,Arches National Park,ARCH,85,Summer,C
Black-chinned Hummingbird,BCHU,Arches National Park,ARCH,26,Summer,S
Black-chinned Hummingbird,BCHU,Arches National Park,ARCH,85,Summer,S
Bewick's Wren,BEWR,Arches National Park,ARCH,26,Summer,S
Bewick's Wren,BEWR,Arches National Park,ARCH,85,Summer,S
Black-headed Grosbeak,BHGR,Arches National Park,ARCH,26,Summer,S
Black-headed Grosbeak,BHGR,Arches National Park,ARCH,85,Summer,S
Blue Grosbeak,BLGR,Arches National Park,ARCH,26,Summer,I
Blue Grosbeak,BLGR,Arches National Park,ARCH,85,Summer,I
Brewer's Sparrow,BRSP,Arches National Park,ARCH,26,Summer,S
Brewer's Sparrow,BRSP,Arches National Park,ARCH,85,Summer,W
Black-tailed Gnatcatcher,BTGN,Arches National Park,ARCH,26,Summer,C
Black-throated Sparrow,BTSP,Arches National Park,ARCH,26,Summer,S
Black-throated Sparrow,BTSP,Arches National Park,ARCH,85,Summer,S
Bullock's Oriole,BUOR,Arches National Park,ARCH,26,Summer,S
Bullock's Oriole,BUOR,Arches National Park,ARCH,85,Summer,S
Burrowing Owl,BUOW,Arches National Park,ARCH,26,Summer,S
Burrowing Owl,BUOW,Arches National Park,ARCH,85,Summer,S
Cactus Wren,CACW,Arches National Park,ARCH,26,Summer,C
Cactus Wren,CACW,Arches National Park,ARCH,85,Summer,C
Cattle Egret,CAEG,Arches National Park,ARCH,26,Summer,I
Cattle Egret,CAEG,Arches National Park,ARCH,85,Summer,I
Cassin's Finch,CAFI,Arches National Park,ARCH,26,Summer,I
Cassin's Kingbird,CAKI,Arches National Park,ARCH,26,Summer,S
Cassin's Kingbird,CAKI,Arches National Park,ARCH,85,Summer,S
Canyon Towhee,CANT,Arches National Park,ARCH,85,Summer,C
Cassin's Sparrow,CASP,Arches National Park,ARCH,26,Summer,C
Cassin's Sparrow,CASP,Arches National Park,ARCH,85,Summer,C
Curve-billed Thrasher,CBTH,Arches National Park,ARCH,26,Summer,C
Curve-billed Thrasher,CBTH,Arches National Park,ARCH,85,Summer,C
Chihuahuan Raven,CHRA,Arches National Park,ARCH,85,Summer,C
Chukar,CHUK,Arches National Park,ARCH,26,Summer,S
Chukar,CHUK,Arches National Park,ARCH,85,Summer,S
Clark's Nutcracker,CLNU,Arches National Park,ARCH,26,Summer,I
Cliff Swallow,CLSW,Arches National Park,ARCH,26,Summer,I
Cliff Swallow,CLSW,Arches National Park,ARCH,85,Summer,I
Common Nighthawk,CONI,Arches National Park,ARCH,26,Summer,I
Common Nighthawk,CONI,Arches National Park,ARCH,85,Summer,S
Common Raven,CORA,Arches National Park,ARCH,26,Summer,E
Common Raven,CORA,Arches National Park,ARCH,85,Summer,E
Chuck-will's-widow,CWWI,Arches National Park,ARCH,26,Summer,C
Dickcissel,DICK,Arches National Park,ARCH,26,Summer,C
Eastern Meadowlark,EAME,Arches National Park,ARCH,26,Summer,C
Eastern Meadowlark,EAME,Arches National Park,ARCH,85,Summer,C
Ferruginous Hawk,FEHA,Arches National Park,ARCH,26,Summer,S
Ferruginous Hawk,FEHA,Arches National Park,ARCH,85,Summer,W
Gambel's Quail,GAQU,Arches National Park,ARCH,26,Summer,S
Gambel's Quail,GAQU,Arches National Park,ARCH,85,Summer,S
Golden-fronted Woodpecker,GFWO,Arches National Park,ARCH,85,Summer,C
Gray Flycatcher,GRFL,Arches National Park,ARCH,26,Summer,S
Gray Flycatcher,GRFL,Arches National Park,ARCH,85,Summer,S
Greater Roadrunner,GRRO,Arches National Park,ARCH,26,Summer,C
Greater Roadrunner,GRRO,Arches National Park,ARCH,85,Summer,C
Great-tailed Grackle,GTGR,Arches National Park,ARCH,26,Summer,I
Great-tailed Grackle,GTGR,Arches National Park,ARCH,85,Summer,I
Green-tailed Towhee,GTTO,Arches National Park,ARCH,26,Summer,S
Green-tailed Towhee,GTTO,Arches National Park,ARCH,85,Summer,S
Harris's Hawk,HASH,Arches National Park,ARCH,85,Summer,C
House Finch,HOFI,Arches National Park,ARCH,85,Summer,I
Horned Lark,HOLA,Arches National Park,ARCH,26,Summer,W
Horned Lark,HOLA,Arches National Park,ARCH,85,Summer,W
Hooded Oriole,HOOR,Arches National Park,ARCH,85,Summer,C
Juniper Titmouse,JUTI,Arches National Park,ARCH,26,Summer,S
Juniper Titmouse,JUTI,Arches National Park,ARCH,85,Summer,S
Lark Bunting,LARB,Arches National Park,ARCH,26,Summer,I
Lark Bunting,LARB,Arches National Park,ARCH,85,Summer,S
Lark Sparrow,LASP,Arches National Park,ARCH,26,Summer,I
Lark Sparrow,LASP,Arches National Park,ARCH,85,Summer,S
Lazuli Bunting,LAZB,Arches National Park,ARCH,26,Summer,S
Lazuli Bunting,LAZB,Arches National Park,ARCH,85,Summer,S
Long-billed Curlew,LBCU,Arches National Park,ARCH,26,Summer,S
Long-billed Curlew,LBCU,Arches National Park,ARCH,85,Summer,W
Ladder-backed Woodpecker,LBWO,Arches National Park,ARCH,26,Summer,C
Ladder-backed Woodpecker,LBWO,Arches National Park,ARCH,85,Summer,C
Lesser Goldfinch,LEGO,Arches National Park,ARCH,26,Summer,S
Lesser Goldfinch,LEGO,Arches National Park,ARCH,85,Summer,S
Lesser Nighthawk,LENI,Arches National Park,ARCH,26,Summer,C
Lesser Nighthawk,LENI,Arches National Park,ARCH,85,Summer,C
Loggerhead Shrike,LOSH,Arches National Park,ARCH,26,Summer,I
Loggerhead Shrike,LOSH,Arches National Park,ARCH,85,Summer,I
Lucy's Warbler,LUWA,Arches National Park,ARCH,85,Summer,I
Mountain Bluebird,MOBL,Arches National Park,ARCH,26,Summer,S
Mountain Bluebird,MOBL,Arches National Park,ARCH,85,Summer,S
Mourning Dove,MODO,Arches National Park,ARCH,26,Summer,S
Mourning Dove,MODO,Arches National Park,ARCH,85,Summer,S
Northern Bobwhite,NOBO,Arches National Park,ARCH,26,Summer,C
Northern Bobwhite,NOBO,Arches National Park,ARCH,85,Summer,C
Northern Harrier,NOHA,Arches National Park,ARCH,26,Summer,E
Northern Harrier,NOHA,Arches National Park,ARCH,85,Summer,E
Northern Mockingbird,NOMO,Arches National Park,ARCH,26,Summer,I
Northern Mockingbird,NOMO,Arches National Park,ARCH,85,Summer,S
Northern Pintail,NOPI,Arches National Park,ARCH,26,Summer,W
Northern Pintail,NOPI,Arches National Park,ARCH,85,Summer,E
Painted Bunting,PABU,Arches National Park,ARCH,26,Summer,C
Painted Bunting,PABU,Arches National Park,ARCH,85,Summer,C
Pinyon Jay,PIJA,Arches National Park,ARCH,26,Summer,S
Pinyon Jay,PIJA,Arches National Park,ARCH,85,Summer,S
Ring-necked Pheasant,RNEP,Arches National Park,ARCH,26,Summer,S
Ring-necked Pheasant,RNEP,Arches National Park,ARCH,85,Summer,W
Rock Wren,ROWR,Arches National Park,ARCH,26,Summer,S
Rock Wren,ROWR,Arches National Park,ARCH,85,Summer,S
Red-tailed Hawk,RTHA,Arches National Park,ARCH,26,Summer,S
Red-tailed Hawk,RTHA,Arches National Park,ARCH,85,Summer,S
Sage Sparrow,SAGS,Arches National Park,ARCH,26,Summer,S
Sage Sparrow,SAGS,Arches National Park,ARCH,85,Summer,S
Say's Phoebe,SAPH,Arches National Park,ARCH,26,Summer,W
Say's Phoebe,SAPH,Arches National Park,ARCH,85,Summer,W
Sage Thrasher,SATH,Arches National Park,ARCH,26,Summer,S
Sage Thrasher,SATH,Arches National Park,ARCH,85,Summer,W
Scott's Oriole,SCOR,Arches National Park,ARCH,85,Summer,I
Spotted Towhee,SPTO,Arches National Park,ARCH,26,Summer,S
Spotted Towhee,SPTO,Arches National Park,ARCH,85,Summer,S
Scissor-tailed Flycatcher,STFL,Arches National Park,ARCH,26,Summer,C
Scissor-tailed Flycatcher,STFL,Arches National Park,ARCH,85,Summer,C
Swainson's Hawk,SWHA,Arches National Park,ARCH,26,Summer,I
Swainson's Hawk,SWHA,Arches National Park,ARCH,85,Summer,I
Verdin,VERD,Arches National Park,ARCH,85,Summer,C
Violet-green Swallow,VGSW,Arches National Park,ARCH,26,Summer,S
Violet-green Swallow,VGSW,Arches National Park,ARCH,85,Summer,S
Western Kingbird,WEKI,Arches National Park,ARCH,26,Summer,S
Western Kingbird,WEKI,Arches National Park,ARCH,85,Summer,S
Western Meadowlark,WEME,Arches National Park,ARCH,26,Summer,S
Western Meadowlark,WEME,Arches National Park,ARCH,85,Summer,S
Yellow-headed Blackbird,YHBL,Arches National Park,ARCH,26,Summer,S
Yellow-headed Blackbird,YHBL,Arches National Park,ARCH,85,Summer,S
American Wigeon,AMWI,Badlands National Park,BADL,26,Summer,E
American Wigeon,AMWI,Badlands National Park,BADL,85,Summer,E
Baltimore Oriole,BAOR,Badlands National Park,BADL,26,Summer,I
Baltimore Oriole,BAOR,Badlands National Park,BADL,85,Summer,I
Barn Swallow,BARS,Badlands National Park,BADL,26,Summer,I
Barn Swallow,BARS,Badlands National Park,BADL,85,Summer,S
Black-billed Magpie,BBMA,Badlands National Park,BADL,26,Summer,W
Black-billed Magpie,BBMA,Badlands National Park,BADL,85,Summer,W
Bell's Vireo,BEVI,Badlands National Park,BADL,26,Summer,I
Bell's Vireo,BEVI,Badlands National Park,BADL,85,Summer,S
Bewick's Wren,BEWR,Badlands National Park,BADL,85,Summer,C
Brown-headed Cowbird,BHCO,Badlands National Park,BADL,26,Summer,S
Brown-headed Cowbird,BHCO,Badlands National Park,BADL,85,Summer,W
Black-headed Grosbeak,BHGR,Badlands National Park,BADL,26,Summer,W
Black-headed Grosbeak,BHGR,Badlands National Park,BADL,85,Summer,W
Blue Grosbeak,BLGR,Badlands National Park,BADL,26,Summer,I
Blue Grosbeak,BLGR,Badlands National Park,BADL,85,Summer,I
Blue Jay,BLJA,Badlands National Park,BADL,85,Summer,I
Brewer's Blackbird,BRBL,Badlands National Park,BADL,26,Summer,E
Brewer's Blackbird,BRBL,Badlands National Park,BADL,85,Summer,E
Brewer's Sparrow,BRSP,Badlands National Park,BADL,26,Summer,E
Brewer's Sparrow,BRSP,Badlands National Park,BADL,85,Summer,E
Brown Thrasher,BRTH,Badlands National Park,BADL,26,Summer,I
Brown Thrasher,BRTH,Badlands National Park,BADL,85,Summer,I
Bullock's Oriole,BUOR,Badlands National Park,BADL,26,Summer,W
Bullock's Oriole,BUOR,Badlands National Park,BADL,85,Summer,W
Burrowing Owl,BUOW,Badlands National Park,BADL,26,Summer,S
Burrowing Owl,BUOW,Badlands National Park,BADL,85,Summer,W
Blue-winged Teal,BWTE,Badlands National Park,BADL,26,Summer,W
Blue-winged Teal,BWTE,Badlands National Park,BADL,85,Summer,W
Cattle Egret,CAEG,Badlands National Park,BADL,85,Summer,I
Cassin's Kingbird,CAKI,Badlands National Park,BADL,26,Summer,C
Cassin's Kingbird,CAKI,Badlands National Park,BADL,85,Summer,C
Chestnut-collared Longspur,CCLO,Badlands National Park,BADL,26,Summer,W
