unit_name,park,nps_region,turnover_rate,class,long,lat,state,size,website_title,website,more_title,more_URL,park_description
Guadalupe Mountains National Park,GUMO,Intermountain,0.164835165,Low change,-104.884356,31.92335,Intermountain,134.9 sq. mi.,nps.gov/gumo,https://www.nps.gov/gumo/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Hot Springs National Park,HOSP,Midwest,0.226519337,Intermediate change,-93.089722,34.511137,Midwest,8.5 sq. mi.,nps.gov/hosp,https://www.nps.gov/hosp/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Isle Royale National Park,ISRO,Midwest,0.392670157,High turnover,-88.828423,48.010955,Midwest,893.4 sq. mi.,nps.gov/isro,https://www.nps.gov/isro/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Joshua Tree National Park,JOTR,Pacific West,0.102702703,Low change,-115.860111,33.827052,Pacific West,"1,235.4 sq. mi.",nps.gov/jotr,https://www.nps.gov/jotr/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Katmai National Park and Preserve,KATM,Alaska,0.214659686,Intermediate change,-154.979634,58.562753,Alaska,"6,395.4 sq. mi.",nps.gov/katm,https://www.nps.gov/katm/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Kenai Fjords National Park,KEFJ,Alaska,0.138121547,Low change,-149.881524,59.953237,Alaska,"1,046.9 sq. mi.",nps.gov/kefj,https://www.nps.gov/kefj/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Kobuk Valley National Park,KOVA,Alaska,0.229813665,High potential colonization,-159.198885,67.353365,Alaska,"2,735.5 sq. mi.",nps.gov/kova,https://www.nps.gov/kova/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Lake Clark National Park and Preserve,LACL,Alaska,0.178378378,High potential colonization,-153.24868,60.547149,Alaska,"6,296.9 sq. mi.",nps.gov/lacl,https://www.nps.gov/lacl/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Lassen Volcanic National Park,LAVO,Pacific West,0.148514851,Low change,-121.407205,40.493787,Pacific West,166.3 sq. mi.,nps.gov/lavo,https://www.nps.gov/lavo/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Mammoth Cave National Park,MACA,Southeast,0.175757576,Low change,-86.130895,37.19758,Southeast,82.5 sq. mi.,nps.gov/maca,https://www.nps.gov/maca/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Mesa Verde National Park,MEVE,Intermountain,0.212121212,Intermediate change,-108.500929,37.223483,Intermountain,82 sq. mi.,nps.gov/meve,https://www.nps.gov/meve/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Mount Rainier National Park,MORA,Pacific West,0.19760479,High potential extirpation,-121.704373,46.860604,Pacific West,369.3 sq. mi.,nps.gov/mora,https://www.nps.gov/mora/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
North Cascades National Park,NOCA,Pacific West,0.101796407,Low change,-121.20459,48.710799,Pacific West,788.7 sq. mi.,nps.gov/noca,https://www.nps.gov/noca/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Olympic National Park,OLYM,Pacific West,0.269230769,High turnover,-123.618345,47.794565,Pacific West,"1,441.6 sq. mi.",nps.gov/olym,https://www.nps.gov/olym/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Petrified Forest National Park,PEFO,Intermountain,0.26618705,High turnover,-109.674718,34.988643,Intermountain,229.6 sq. mi.,nps.gov/pefo,https://www.nps.gov/pefo/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Pinnacles National Park,PINN,Pacific West,0.190909091,Low change,-121.180992,36.490215,Pacific West,41.6 sq. mi.,nps.gov/pinn,https://www.nps.gov/pinn/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Redwood National Park,REDW,Pacific West,0.204301075,Intermediate change,-124.031655,41.371331,Pacific West,217.2 sq. mi.,nps.gov/redw,https://www.nps.gov/redw/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Rocky Mountain National Park,ROMO,Intermountain,0.205882353,High potential extirpation,-105.697769,40.35566,Intermountain,414.8 sq. mi.,nps.gov/romo,https://www.nps.gov/romo/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Saguaro National Park,SAGU,Intermountain,0.108910891,Low change,-110.607898,32.178707,Intermountain,143.3 sq. mi.,nps.gov/sagu,https://www.nps.gov/sagu/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Sequoia and Kings Canyon National Parks,SEKI,Pacific West,0.166666667,Low change,-118.587259,36.711132,Pacific West,721.7 sq. mi.,nps.gov/seki,https://www.nps.gov/seki/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Shenandoah National Park,SHEN,Northeast,0.23255814,High potential colonization,-78.6762,38.281065,Northeast,311.2 sq. mi.,nps.gov/shen,https://www.nps.gov/shen/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Theodore Roosevelt National Park,THRO,Midwest,0.24137931,High potential extirpation,-103.459223,46.953592,Midwest,110.1 sq. mi.,nps.gov/thro,https://www.nps.gov/thro/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Voyageurs National Park,VOYA,Midwest,0.403141361,High turnover,-92.837206,48.483271,Midwest,341 sq. mi.,nps.gov/voya,https://www.nps.gov/voya/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Wind Cave National Park,WICA,Midwest,0.398601399,High turnover,-103.439165,43.580114,Midwest,52.9 sq. mi.,nps.gov/wica,https://www.nps.gov/wica/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Wrangell-St. Elias National Park and Preserve,WRST,Alaska,0.192307692,High potential colonization,-142.131989,60.691861,Alaska,"20,587.2 sq. mi.",nps.gov/wrst,https://www.nps.gov/wrst/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Yellowstone National Park,YELL,Intermountain,0.197916667,High potential extirpation,-110.547196,44.596445,Intermountain,"3,468.4 sq. mi.",nps.gov/yell,https://www.nps.gov/yell/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Yosemite National Park,YOSE,Pacific West,0.140425532,Low change,-119.557143,37.848319,Pacific West,"1,168.8 sq. mi.",nps.gov/yose,https://www.nps.gov/yose/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
Zion National Park,ZION,Intermountain,0.267015707,High turnover,-113.026442,37.298237,Intermountain,229.1 sq. mi.,nps.gov/zion,https://www.nps.gov/zion/index.htm,Full Birds and Climate Change Report for this park [PDF],http://www.audubon.org/sites/default/files/Full_Birds_and_Climate_Change_Report_for_this_park.pdf,
